City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,kununurra,-15.7667,128.7333,25.99,78,12,2.57,AU,1731618884
235,utrik,11.2278,169.8474,28.17,73,11,6.01,MH,1731618984
236,al hasakah,36.5024,40.7477,16.47,35,73,2.62,SY,1731618985
237,dakhla,23.6848,-15.958,19.01,88,13,3.6,EH,1731618987
238,knysna,-34.0363,23.0471,14.68,91,49,2.26,ZA,1731618988
239,luanda,-8.8368,13.2343,25.0,88,75,1.54,AO,1731618906
240,lihue,21.9789,-159.3672,24.77,83,100,12.86,US,1731618991
241,plastun,44.7561,136.2939,3.47,91,43,2.42,RU,1731618992
242,ban karon,7.8477,98.2985,28.77,92,100,2.29,TH,1731618993
243,pangobilian,8.8011,117.8594,26.39,87,100,1.64,PH,1731618994
244,ormara,25.2088,64.6357,25.94,69,0,4.03,PK,1731618995
245,inverloch,-38.6333,145.7167,11.68,67,61,0.81,AU,1731618996
246,pisco,-13.7,-76.2167,22.03,68,0,9.26,PE,1731618997
247,seydi,39.4816,62.9137,3.2,53,0,3.26,TM,1731618998
248,sao joao da barra,-21.6403,-41.0511,22.05,89,100,5.04,BR,1731618999
249,muisne,0.6,-80.0333,24.51,76,100,4.19,EC,1731619001
250,nanning,22.8167,108.3167,21.25,73,0,1.07,CN,1731619002
251,sinazongwe,-17.2614,27.4618,24.47,72,100,2.48,ZM,1731619003
252,citrus springs,28.9975,-82.4707,27.73,65,100,2.57,US,1731618994
253,quellon,-43.1167,-73.6167,12.53,93,100,5.7,CL,1731618971
254,port macquarie,-31.4333,152.9167,21.71,84,96,0.45,AU,1731619006
255,viedma,-40.8135,-62.9967,28.8,19,61,2.54,AR,1731618424
256,lerwick,60.1545,-1.1494,10.79,95,64,9.24,GB,1731619008
257,shiyan,32.6475,110.7781,16.53,90,97,1.99,CN,1731619009
258,dunedin,-45.8742,170.5036,14.33,89,100,3.58,NZ,1731618860
259,zeya,53.75,127.2667,-16.59,88,4,1.81,RU,1731619012
260,buala,-8.145,159.5921,27.86,76,43,1.43,SB,1731619013
261,whangarei,-35.7317,174.3239,17.52,98,100,3.27,NZ,1731619014
262,businga,3.3333,20.8833,23.45,93,63,0.13,CD,1731619015
263,calatayud,41.3535,-1.6432,10.69,89,14,1.31,ES,1731619016
264,gadzhiyevo,69.2551,33.3362,1.17,79,92,13.49,RU,1731619017
265,homer,59.6425,-151.5483,0.98,61,100,3.09,US,1731619003
266,crane,31.3974,-102.3501,22.74,21,0,6.64,US,1731619019
267,gorontalo,0.5412,123.0595,23.09,95,86,1.23,ID,1731619020
268,fort bragg,35.139,-79.006,13.23,94,100,2.57,US,1731619022
269,naze,28.3667,129.4833,23.51,92,100,3.84,JP,1731618991
270,northam,51.0333,-4.2167,9.23,93,5,3.09,GB,1731619024
271,kenai,60.5544,-151.2583,-5.48,83,100,5.66,US,1731619025
272,hobyo,5.3505,48.5268,26.26,75,6,7.1,SO,1731619026
273,turkan,40.3639,50.215,10.1,93,40,2.06,AZ,1731619027
274,shenjiamen,29.9576,122.298,20.57,99,100,2.76,CN,1731619004
275,chernyshevskiy,63.0128,112.4714,-24.27,100,99,1.54,RU,1731619029
276,nalut,30.3333,10.85,17.78,38,0,3.79,LY,1731619030
277,pumiao,22.75,108.4833,22.3,75,0,1.05,CN,1731619032
278,latnaya,51.6586,38.9011,-0.06,97,100,3.1,RU,1731619033
279,massawa,15.6097,39.45,29.14,56,0,1.55,ER,1731619034
280,dunay,42.8803,132.3375,6.82,90,28,4.73,RU,1731619035
281,iquitos,-3.7481,-73.2472,24.02,88,75,3.09,PE,1731619036
282,surab,28.4914,66.2585,10.69,41,9,1.08,PK,1731619037
283,arris,35.2588,6.3471,11.04,61,7,2.02,DZ,1731619038
284,merizo village,13.2658,144.6691,27.43,90,88,4.81,GU,1731619039
285,luau,-10.7073,22.2247,19.09,86,51,1.66,AO,1731619040
286,batticaloa,7.7102,81.6924,25.11,90,100,3.51,LK,1731619042
287,cherdyn',60.403,56.4787,-0.63,97,100,4.3,RU,1731619043
288,botevgrad,42.9,23.7833,3.65,98,100,1.2,BG,1731619044
289,kindu,-2.95,25.95,21.69,99,100,1.93,CD,1731619045
290,laguna,38.421,-121.4238,17.82,63,75,3.6,US,1731618761
291,par,50.3539,-4.7109,11.56,89,20,4.59,GB,1731619047
292,rehoboth,-23.3167,17.0833,26.95,12,14,3.32,NA,1731619049
293,kouroussa,10.65,-9.8833,26.8,44,46,0.22,GN,1731619050
294,ilaro,6.8865,3.0205,25.62,82,40,1.93,NG,1731619051
295,masuguru,-11.3667,38.4167,27.29,65,34,3.69,TZ,1731619053
296,neya,58.2972,43.8681,-0.95,80,100,4.06,RU,1731619054
297,salmon arm,50.6998,-119.3024,8.62,87,100,1.54,CA,1731619055
298,odessa,46.4775,30.7326,4.2,68,78,3.22,UA,1731619056
299,bouna,9.2667,-3.0,27.59,35,24,1.86,CI,1731619057
300,fortuna,40.5982,-124.1573,13.32,93,100,2.57,US,1731619058
301,pandan,14.0453,124.1694,26.13,88,100,2.09,PH,1731619059
302,ziro,27.6333,93.8333,7.33,92,2,0.87,IN,1731619060
303,bouznika,33.7894,-7.1597,14.86,100,28,2.06,MA,1731619031
304,mahina,-17.5065,-149.489,28.87,65,75,2.06,PF,1731619063
305,de aar,-30.6497,24.0123,21.52,23,1,3.64,ZA,1731619064
306,labytnangi,66.6572,66.4183,-13.61,97,100,1.73,RU,1731619065
307,cururupu,-1.8283,-44.8683,26.0,73,100,2.18,BR,1731619066
308,santana do matos,-5.9575,-36.6556,30.43,38,98,9.38,BR,1731619068
309,natal,-5.795,-35.2094,26.36,73,40,3.09,BR,1731618837
310,chimore,-16.9833,-65.1333,35.07,27,53,1.25,BO,1731619070
311,sint michiel liber,12.15,-68.9833,30.94,79,20,1.03,CW,1731619072
312,onguday,50.75,86.15,-9.38,64,100,1.98,RU,1731619073
313,nizhneudinsk,54.9076,99.0276,-9.61,57,100,2.41,RU,1731619074
314,sijunjung,-0.6876,100.9537,22.3,99,94,0.34,ID,1731619075
315,bathsheba,13.2167,-59.5167,29.34,74,40,3.6,BB,1731619076
316,cole harbour,44.6724,-63.4751,2.71,83,100,11.83,CA,1731619077
317,luderitz,-26.6481,15.1594,23.43,39,0,6.04,NA,1731619078
318,amga,60.8953,131.9608,-19.4,97,100,2.16,RU,1731619079
319,ciudad lazaro cardenas,17.9583,-102.2,29.14,68,92,4.94,MX,1731618868
320,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-1.13,64,68,3.5,RU,1731619082
321,shendi,16.6915,33.4341,30.12,35,1,5.26,SD,1731619083
322,nicoya,10.1483,-85.452,23.65,95,100,1.66,CR,1731618790
323,puerto deseado,-47.7503,-65.8938,17.21,48,94,11.18,AR,1731618977
324,santa marta,11.2408,-74.199,31.03,74,75,4.92,CO,1731619086
325,minas de marcona,-15.2119,-75.1103,19.02,60,25,4.52,PE,1731619087
326,sola,-13.8833,167.55,27.15,78,73,5.47,VU,1731619088
327,araioses,-2.89,-41.9031,27.99,65,20,9.26,BR,1731619089
328,itaituba,-4.2761,-55.9836,29.09,74,20,1.03,BR,1731619090
329,mount isa,-20.7333,139.5,28.87,17,66,5.14,AU,1731619092
330,touros,-5.1989,-35.4608,25.71,73,77,5.36,BR,1731618935
331,playa blanca,28.8643,-13.8281,19.06,71,0,4.47,ES,1731619094
332,muynoq,43.7683,59.0214,1.24,56,28,3.51,UZ,1731619095
333,tongouson,5.0214,120.1328,27.35,77,85,1.45,PH,1731619096
334,aripuana,-9.1667,-60.6333,27.09,74,100,2.0,BR,1731619097
335,lubuklinggau,-3.3,102.8667,21.58,97,40,0.99,ID,1731619098
336,mpumalanga,-26.0,30.0,10.9,91,2,2.65,ZA,1731619099
337,bengkulu,-3.8004,102.2655,24.22,92,80,1.65,ID,1731619076
338,kangding,30.0513,101.9603,8.57,42,0,3.71,CN,1731619102
339,fale old settlement,-9.3852,-171.2468,28.39,76,36,5.2,TK,1731619103
340,sitamau,24.0167,75.35,19.49,46,2,2.2,IN,1731619104
341,keflavik,64.0049,-22.5624,3.24,70,75,14.92,IS,1731619105
342,saint-pierre,-21.3393,55.4781,21.82,68,3,0.0,RE,1731619106
343,cill airne,52.05,-9.5167,11.46,94,100,0.44,IE,1731619107
344,sur,22.5667,59.5289,25.98,66,0,4.94,OM,1731619108
345,jinchang,38.4953,102.1739,3.2,63,31,6.82,CN,1731619109
346,north bend,43.4065,-124.2243,10.13,93,100,3.6,US,1731619110
347,miyaly,48.8844,53.7836,2.31,65,96,3.63,KZ,1731619111
348,remire-montjoly,4.9167,-52.2667,28.02,83,75,2.57,GF,1731619113
349,antsiranana,-12.2787,49.2917,25.5,77,25,4.98,MG,1731618959
350,kurchatov,51.6601,35.6521,0.26,97,100,3.25,RU,1731619115
351,cockburn town,21.4612,-71.1419,26.41,64,3,7.16,TC,1731619116
352,salinopolis,-0.6136,-47.3561,27.4,75,32,6.32,BR,1731619117
353,sardarapat,40.1321,44.0097,2.53,72,16,0.79,AM,1731619118
354,shitanjing,39.2342,106.3439,5.16,69,100,2.58,CN,1731619119
355,saipan,15.1355,145.701,28.39,88,40,5.14,MP,1731619120
356,kotli,33.5167,73.9167,15.18,44,100,1.81,PK,1731619121
357,riosucio,5.4216,-75.7032,17.47,98,100,0.99,CO,1731619124
358,consolacion del sur,22.5047,-83.5136,28.55,61,18,4.77,CU,1731619125
359,gaiman,-43.2897,-65.4929,27.11,21,94,5.41,AR,1731619126
360,shingu,33.7333,135.9833,17.15,93,100,1.41,JP,1731619127
361,ocean shores,46.9737,-124.1563,10.53,95,100,3.09,US,1731619128
